file,source,motion,box_x,box_y,box_z
c2a_sub10_largebox_081_mj_w_obj.npz,c2a,sub10_largebox_081_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub10_largebox_082_mj_w_obj.npz,c2a,sub10_largebox_082_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub10_largebox_083_mj_w_obj.npz,c2a,sub10_largebox_083_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub10_largebox_084_mj_w_obj.npz,c2a,sub10_largebox_084_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub10_largebox_085_mj_w_obj.npz,c2a,sub10_largebox_085_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub10_largebox_086_mj_w_obj.npz,c2a,sub10_largebox_086_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub10_largebox_087_mj_w_obj.npz,c2a,sub10_largebox_087_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub10_largebox_088_mj_w_obj.npz,c2a,sub10_largebox_088_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub10_largebox_089_mj_w_obj.npz,c2a,sub10_largebox_089_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub10_largebox_090_mj_w_obj.npz,c2a,sub10_largebox_090_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_041_mj_w_obj.npz,c2a,sub12_largebox_041_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_042_mj_w_obj.npz,c2a,sub12_largebox_042_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_043_mj_w_obj.npz,c2a,sub12_largebox_043_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_044_mj_w_obj.npz,c2a,sub12_largebox_044_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_045_mj_w_obj.npz,c2a,sub12_largebox_045_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_046_mj_w_obj.npz,c2a,sub12_largebox_046_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_048_mj_w_obj.npz,c2a,sub12_largebox_048_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_049_mj_w_obj.npz,c2a,sub12_largebox_049_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_050_mj_w_obj.npz,c2a,sub12_largebox_050_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_076_mj_w_obj.npz,c2a,sub12_largebox_076_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_077_mj_w_obj.npz,c2a,sub12_largebox_077_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_078_mj_w_obj.npz,c2a,sub12_largebox_078_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_079_mj_w_obj.npz,c2a,sub12_largebox_079_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub12_largebox_080_mj_w_obj.npz,c2a,sub12_largebox_080_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub3_largebox_004_mj_w_obj.npz,c2a,sub3_largebox_004_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub3_largebox_005_mj_w_obj.npz,c2a,sub3_largebox_005_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub3_largebox_009_mj_w_obj.npz,c2a,sub3_largebox_009_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub3_largebox_010_mj_w_obj.npz,c2a,sub3_largebox_010_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub3_largebox_011_mj_w_obj.npz,c2a,sub3_largebox_011_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub3_largebox_015_mj_w_obj.npz,c2a,sub3_largebox_015_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub3_largebox_028_mj_w_obj.npz,c2a,sub3_largebox_028_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub3_largebox_029_mj_w_obj.npz,c2a,sub3_largebox_029_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub3_largebox_030_mj_w_obj.npz,c2a,sub3_largebox_030_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub7_largebox_042_mj_w_obj.npz,c2a,sub7_largebox_042_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub7_largebox_043_mj_w_obj.npz,c2a,sub7_largebox_043_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub7_largebox_044_mj_w_obj.npz,c2a,sub7_largebox_044_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub7_largebox_045_mj_w_obj.npz,c2a,sub7_largebox_045_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub7_largebox_046_mj_w_obj.npz,c2a,sub7_largebox_046_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub7_largebox_047_mj_w_obj.npz,c2a,sub7_largebox_047_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub8_largebox_006_mj_w_obj.npz,c2a,sub8_largebox_006_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub8_largebox_042_mj_w_obj.npz,c2a,sub8_largebox_042_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub8_largebox_043_mj_w_obj.npz,c2a,sub8_largebox_043_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub8_largebox_044_mj_w_obj.npz,c2a,sub8_largebox_044_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub8_largebox_045_mj_w_obj.npz,c2a,sub8_largebox_045_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub8_largebox_046_mj_w_obj.npz,c2a,sub8_largebox_046_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
c2a_sub8_largebox_047_mj_w_obj.npz,c2a,sub8_largebox_047_mj_w_obj.npz,0.30000002,0.30000002,0.30000002
mentor_Bringing-carry_0001_mj_w_obj.npz,mentor,Bringing-carry_0001,0.2289041,0.2289133,0.22891551
mentor_Bringing-carry_0005_mj_w_obj.npz,mentor,Bringing-carry_0005,0.23158134,0.23159065,0.23159288
mentor_Bringing-carry_0006_mj_w_obj.npz,mentor,Bringing-carry_0006,0.23158134,0.23159065,0.23159288
