motion,frames,box_x,box_y,box_z
Bringing-carry_0001,1938,0.2289041,0.2289133,0.22891551
Bringing-carry_0005,1903,0.23158134,0.23159065,0.23159288
Bringing-carry_0006,1875,0.23158134,0.23159065,0.23159288
Bringing-carry_0010,1889,0.23023494,0.23024419000000002,0.23024641
Bringing-carry_0011,1902,0.22500234,0.22501137,0.22501354
Bringing-carry_0014,1900,0.23023494,0.23024419000000002,0.23024641
Bringing-carry_0016,1880,0.23158134,0.23159065,0.23159288
Bringing-carry_0018,1864,0.23158134,0.23159065,0.23159288
Bringing-carry_0027,1844,0.2289041,0.2289133,0.22891551
Bringing-carry_0028,1839,0.21639568,0.21640438,0.21640646
Bringing-carry_0030,1853,0.23023494,0.23024419000000002,0.23024641
Bringing-carry_0057,2067,0.2289041,0.2289133,0.22891551
Bringing-carry_0059,1853,0.2289041,0.2289133,0.22891551
Bringing-carry_0060,1853,0.23158134,0.23159065,0.23159288
Bringing-carry_0061,1854,0.23158134,0.23159065,0.23159288
Bringing-carry_0062,1812,0.2289041,0.2289133,0.22891551
Bringing-carry_0063,2076,0.2289041,0.2289133,0.22891551
Bringing-carry_0067,1856,0.2289041,0.2289133,0.22891551
Bringing-carry_0071,1779,0.25063551,0.25064558,0.25064799
Bringing-carry_0072,1858,0.23158134,0.23159065,0.23159288
Bringing-carry_0073,1878,0.21639568,0.21640438,0.21640646
Bringing-carry_0078,1859,0.23158134,0.23159065,0.23159288
Bringing-carry_0086,1862,0.23158134,0.23159065,0.23159288
Bringing-carry_0088,1862,0.23158134,0.23159065,0.23159288
Bringing-carry_0096,1864,0.23158134,0.23159065,0.23159288
Bringing-carry_0097,1864,0.2289041,0.2289133,0.22891551
Bringing-carry_0098,1864,0.23158134,0.23159065,0.23159288
Bringing-carry_0099,1865,0.2289041,0.2289133,0.22891551
Bringing-carry_0103,1865,0.2289041,0.2289133,0.22891551
Bringing-carry_0104,2071,0.2289041,0.2289133,0.22891551
Bringing-carry_0105,1866,0.2289041,0.2289133,0.22891551
Bringing-carry_0107,1866,0.2289041,0.2289133,0.22891551
Bringing-carry_0110,1868,0.23158134,0.23159065,0.23159288
Bringing-carry_0112,1869,0.2289041,0.2289133,0.22891551
Bringing-carry_0113,1869,0.2289041,0.2289133,0.22891551
Bringing-carry_0116,1869,0.23158134,0.23159065,0.23159288
Bringing-carry_0121,1871,0.23158134,0.23159065,0.23159288
Bringing-carry_0123,1871,0.22500234,0.22501137,0.22501354
Bringing-carry_0124,1872,0.2289041,0.2289133,0.22891551
Bringing-carry_0125,1887,0.25063551,0.25064558,0.25064799
Bringing-carry_0126,1872,0.2289041,0.2289133,0.22891551
Bringing-carry_0127,1860,0.2289041,0.2289133,0.22891551
Bringing-carry_0128,1873,0.23158134,0.23159065,0.23159288
Bringing-carry_0129,1873,0.23158134,0.23159065,0.23159288
Bringing-carry_0130,1873,0.23158134,0.23159065,0.23159288
Bringing-carry_0131,1873,0.23158134,0.23159065,0.23159288
Bringing-carry_0132,1873,0.23158134,0.23159065,0.23159288
Bringing-carry_0133,1874,0.22500234,0.22501137,0.22501354
Bringing-carry_0134,1874,0.2289041,0.2289133,0.22891551
Bringing-carry_0135,1874,0.2289041,0.2289133,0.22891551
Bringing-carry_0136,1848,0.21639568,0.21640438,0.21640646
Bringing-carry_0137,1874,0.23158134,0.23159065,0.23159288
Bringing-carry_0140,1876,0.23158134,0.23159065,0.23159288
Bringing-carry_0141,1876,0.2289041,0.2289133,0.22891551
Bringing-carry_0143,1877,0.2289041,0.2289133,0.22891551
Bringing-carry_0144,1878,0.2289041,0.2289133,0.22891551
Bringing-carry_0145,1878,0.2289041,0.2289133,0.22891551
Bringing-carry_0146,1879,0.23158134,0.23159065,0.23159288
Bringing-carry_0147,1879,0.23158134,0.23159065,0.23159288
Bringing-carry_0149,1880,0.23158134,0.23159065,0.23159288
Bringing-carry_0150,1880,0.2289041,0.2289133,0.22891551
Bringing-carry_0151,1880,0.2289041,0.2289133,0.22891551
Bringing-carry_0153,1982,0.24750256,0.24751251000000002,0.24751489
Bringing-carry_0154,1881,0.2289041,0.2289133,0.22891551
Bringing-carry_0155,1881,0.23158134,0.23159065,0.23159288
Bringing-carry_0157,1882,0.23158134,0.23159065,0.23159288
Bringing-carry_0158,1883,0.23158134,0.23159065,0.23159288
Bringing-carry_0159,2086,0.2289041,0.2289133,0.22891551
Bringing-carry_0160,1883,0.23158134,0.23159065,0.23159288
Bringing-carry_0161,1883,0.23158134,0.23159065,0.23159288
Bringing-carry_0162,1883,0.2289041,0.2289133,0.22891551
Bringing-carry_0163,1884,0.2289041,0.2289133,0.22891551
Bringing-carry_0164,1884,0.23158134,0.23159065,0.23159288
Bringing-carry_0165,1884,0.23158134,0.23159065,0.23159288
Bringing-carry_0166,1884,0.23158134,0.23159065,0.23159288
Bringing-carry_0167,1885,0.22500234,0.22501137,0.22501354
Bringing-carry_0168,1885,0.2289041,0.2289133,0.22891551
Bringing-carry_0169,1885,0.23158134,0.23159065,0.23159288
Bringing-carry_0170,1885,0.22500234,0.22501137,0.22501354
Bringing-carry_0171,1857,0.21639568,0.21640438,0.21640646
Bringing-carry_0173,1886,0.23158134,0.23159065,0.23159288
Bringing-carry_0175,1887,0.2289041,0.2289133,0.22891551
Bringing-carry_0176,1887,0.2289041,0.2289133,0.22891551
Bringing-carry_0177,1887,0.23158134,0.23159065,0.23159288
Bringing-carry_0179,1887,0.22500234,0.22501137,0.22501354
Bringing-carry_0181,1888,0.22500234,0.22501137,0.22501354
Bringing-carry_0183,1888,0.23158134,0.23159065,0.23159288
Bringing-carry_0184,1888,0.23158134,0.23159065,0.23159288
Bringing-carry_0185,1888,0.23158134,0.23159065,0.23159288
Bringing-carry_0186,1888,0.23158134,0.23159065,0.23159288
Bringing-carry_0187,1889,0.23023494,0.23024419000000002,0.23024641
Bringing-carry_0188,2055,0.2289041,0.2289133,0.22891551
Bringing-carry_0189,1889,0.22500234,0.22501137,0.22501354
Bringing-carry_0190,1890,0.2289041,0.2289133,0.22891551
Bringing-carry_0191,1890,0.23158134,0.23159065,0.23159288
Bringing-carry_0192,1890,0.2289041,0.2289133,0.22891551
Bringing-carry_0193,1890,0.23023494,0.23024419000000002,0.23024641
Bringing-carry_0194,1891,0.2289041,0.2289133,0.22891551
Bringing-carry_0196,1891,0.23023494,0.23024419000000002,0.23024641
Bringing-carry_0198,1892,0.23023494,0.23024419000000002,0.23024641
Bringing-carry_0199,1892,0.22500234,0.22501137,0.22501354
