motion_id,archive_name,uncompressed_bytes
Bringing-carry_0001,HiPHI_data_part_0001_of_0032.tar.zst,44191459
Bringing-carry_0002,HiPHI_data_part_0001_of_0032.tar.zst,48598927
Bringing-carry_0003,HiPHI_data_part_0001_of_0032.tar.zst,47308746
Bringing-carry_0005,HiPHI_data_part_0001_of_0032.tar.zst,49275755
Bringing-carry_0006,HiPHI_data_part_0001_of_0032.tar.zst,48588421
Bringing-carry_0007,HiPHI_data_part_0001_of_0032.tar.zst,48026236
Bringing-carry_0008,HiPHI_data_part_0001_of_0032.tar.zst,84447289
Bringing-carry_0009,HiPHI_data_part_0001_of_0032.tar.zst,54203691
Bringing-carry_0010,HiPHI_data_part_0001_of_0032.tar.zst,48581736
Bringing-carry_0011,HiPHI_data_part_0001_of_0032.tar.zst,49015426
Bringing-carry_0012,HiPHI_data_part_0001_of_0032.tar.zst,46714724
Bringing-carry_0014,HiPHI_data_part_0001_of_0032.tar.zst,48862495
Bringing-carry_0016,HiPHI_data_part_0003_of_0032.tar.zst,48585196
Bringing-carry_0018,HiPHI_data_part_0003_of_0032.tar.zst,48167610
Bringing-carry_0027,HiPHI_data_part_0020_of_0032.tar.zst,47642363
Bringing-carry_0028,HiPHI_data_part_0020_of_0032.tar.zst,47596931
Bringing-carry_0029,HiPHI_data_part_0020_of_0032.tar.zst,47806554
Bringing-carry_0030,HiPHI_data_part_0020_of_0032.tar.zst,47659693
Bringing-carry_0034,HiPHI_data_part_0020_of_0032.tar.zst,45846623
Bringing-carry_0035,HiPHI_data_part_0020_of_0032.tar.zst,78844773
Bringing-carry_0036,HiPHI_data_part_0020_of_0032.tar.zst,49397001
Bringing-carry_0037,HiPHI_data_part_0020_of_0032.tar.zst,69591098
Bringing-carry_0038,HiPHI_data_part_0020_of_0032.tar.zst,51017186
Bringing-carry_0041,HiPHI_data_part_0020_of_0032.tar.zst,46592956
Bringing-carry_0052,HiPHI_data_part_0021_of_0032.tar.zst,47439464
Bringing-carry_0057,HiPHI_data_part_0021_of_0032.tar.zst,53430977
Bringing-carry_0059,HiPHI_data_part_0021_of_0032.tar.zst,47880245
Bringing-carry_0060,HiPHI_data_part_0021_of_0032.tar.zst,47929310
Bringing-carry_0061,HiPHI_data_part_0021_of_0032.tar.zst,48029701
Bringing-carry_0062,HiPHI_data_part_0021_of_0032.tar.zst,46860171
Bringing-carry_0063,HiPHI_data_part_0021_of_0032.tar.zst,53622344
Bringing-carry_0066,HiPHI_data_part_0021_of_0032.tar.zst,44603487
Bringing-carry_0067,HiPHI_data_part_0021_of_0032.tar.zst,47964317
Bringing-carry_0068,HiPHI_data_part_0021_of_0032.tar.zst,48537348
Bringing-carry_0069,HiPHI_data_part_0021_of_0032.tar.zst,47699037
Bringing-carry_0070,HiPHI_data_part_0021_of_0032.tar.zst,65463978
Bringing-carry_0071,HiPHI_data_part_0021_of_0032.tar.zst,45954066
Bringing-carry_0072,HiPHI_data_part_0021_of_0032.tar.zst,48085395
Bringing-carry_0073,HiPHI_data_part_0021_of_0032.tar.zst,48501797
Bringing-carry_0075,HiPHI_data_part_0021_of_0032.tar.zst,48137517
Bringing-carry_0076,HiPHI_data_part_0021_of_0032.tar.zst,62830265
Bringing-carry_0077,HiPHI_data_part_0021_of_0032.tar.zst,47058028
Bringing-carry_0078,HiPHI_data_part_0021_of_0032.tar.zst,48156745
Bringing-carry_0079,HiPHI_data_part_0021_of_0032.tar.zst,64110474
Bringing-carry_0082,HiPHI_data_part_0021_of_0032.tar.zst,62910493
Bringing-carry_0083,HiPHI_data_part_0021_of_0032.tar.zst,54096144
Bringing-carry_0085,HiPHI_data_part_0021_of_0032.tar.zst,63561587
Bringing-carry_0086,HiPHI_data_part_0021_of_0032.tar.zst,48117944
Bringing-carry_0087,HiPHI_data_part_0021_of_0032.tar.zst,51980113
Bringing-carry_0088,HiPHI_data_part_0021_of_0032.tar.zst,48093649
